api-1  | INFO:     192.168.188.30:56207 - "GET /progress HTTP/1.1" 200 OK
api-1  | INFO:     172.28.0.1:33432 - "GET /progress HTTP/1.1" 200 OK
api-1  | INFO:     172.28.0.1:33448 - "GET /progress HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:57786 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:57802 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:55674 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:55686 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:40544 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:40554 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:37382 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     192.168.188.30:56217 - "GET /processing_log?limit=50 HTTP/1.1" 200 OK
api-1  | INFO:     192.168.188.30:56218 - "GET /progress HTTP/1.1" 200 OK
api-1  | INFO:     192.168.188.30:56219 - "GET /queue HTTP/1.1" 200 OK
api-1  | INFO:     192.168.188.30:56220 - "GET /failed_docs?limit=100 HTTP/1.1" 200 OK
api-1  | INFO:     192.168.188.58:53464 - "GET /progress HTTP/1.1" 200 OK
api-1  | INFO:     192.168.188.58:61321 - "GET /processing_log?limit=50 HTTP/1.1" 200 OK
api-1  | INFO:     192.168.188.58:64853 - "GET /queue HTTP/1.1" 200 OK
api-1  | INFO:     192.168.188.58:50092 - "GET /progress HTTP/1.1" 200 OK
api-1  | INFO:     192.168.188.58:59285 - "GET /processing_log?limit=50 HTTP/1.1" 200 OK
api-1  | INFO:     192.168.188.58:64853 - "GET /failed_docs?limit=100 HTTP/1.1" 200 OK
api-1  | INFO:     192.168.188.58:55473 - "GET /queue HTTP/1.1" 200 OK
api-1  | INFO:     192.168.188.58:64584 - "GET /failed_docs?limit=100 HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:37384 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:46940 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:46948 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:52174 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:52186 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     172.28.0.1:43282 - "GET /progress HTTP/1.1" 200 OK
api-1  | INFO:     172.28.0.1:43286 - "GET /progress HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:52112 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:52128 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:40854 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:40870 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:60276 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:60282 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:39026 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     192.168.188.30:56223 - "GET /progress HTTP/1.1" 200 OK
api-1  | INFO:     192.168.188.30:56224 - "GET /processing_log?limit=50 HTTP/1.1" 200 OK
api-1  | INFO:     192.168.188.30:56225 - "GET /queue HTTP/1.1" 200 OK
api-1  | INFO:     192.168.188.30:56226 - "GET /failed_docs?limit=100 HTTP/1.1" 200 OK
api-1  | INFO:     192.168.188.58:63756 - "GET /progress HTTP/1.1" 200 OK
api-1  | INFO:     192.168.188.58:49890 - "GET /processing_log?limit=50 HTTP/1.1" 200 OK
api-1  | INFO:     192.168.188.58:65369 - "GET /queue HTTP/1.1" 200 OK
api-1  | INFO:     192.168.188.58:54595 - "GET /failed_docs?limit=100 HTTP/1.1" 200 OK
api-1  | INFO:     192.168.188.58:61614 - "GET /progress HTTP/1.1" 200 OK
api-1  | INFO:     192.168.188.58:58070 - "GET /processing_log?limit=50 HTTP/1.1" 200 OK
api-1  | INFO:     192.168.188.58:63587 - "GET /queue HTTP/1.1" 200 OK
api-1  | INFO:     192.168.188.58:59733 - "GET /failed_docs?limit=100 HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:58988 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:58996 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:33840 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:33852 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:50730 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     172.28.0.1:45322 - "GET /progress HTTP/1.1" 200 OK
api-1  | INFO:     172.28.0.1:45328 - "GET /progress HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:50732 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:49258 - "GET /health HTTP/1.1" 200 OK
